Trend_x,Trend_y,Residuals_x,Residuals_y
417.,84.996759383,417.,1.0432406170
418.,84.9583381277,418.,0.4716618723
419.,85.0396110897,419.,-0.5396110897
420.,85.1133470747,420.,0.3166529253
421.,85.2385134431,421.,0.9614865569
422.,85.3593716732,422.,0.8406283268
423.,85.4765152099,423.,0.2034847901
424.,85.5195096152,424.,-1.2595096152
425.,85.5134546649,425.,0.1665453351
426.,85.5080801377,426.,0.8219198623
427.,85.5107091893,427.,1.5192908107
428.,85.4973979026,428.,2.8226020974
429.,85.5175573626,429.,2.8024426374
430.,85.5308455458,430.,1.6191544542
431.,85.5315832748,431.,1.6184167252
432.,85.5209775986,432.,-0.4809775986
433.,85.5558384108,433.,-3.0758384108
434.,85.5418308455,434.,-3.0618308455
435.,85.4379406102,435.,-1.5779406102
436.,85.3406068088,436.,-1.4506068088
437.,85.2591759723,437.,-1.3691759723
438.,85.1611966296,438.,-1.2711966296
439.,84.9507436182,439.,-0.6107436182
440.,84.8467297108,440.,-0.5067297108
441.,84.7643221817,441.,-0.4243221817
442.,84.5902511948,442.,3.2897488052
443.,84.4472613196,443.,3.4327386804
444.,84.4351231058,444.,-0.4851231058
445.,84.4009214252,445.,-0.4509214252
446.,84.3740311219,446.,-1.1840311219
447.,84.3750114385,447.,-1.1850114385
448.,84.4041976036,448.,-1.2141976036
449.,84.4063648101,449.,1.4136351899
450.,84.4558705746,450.,1.3641294254
451.,84.3948390677,451.,0.9351609323
452.,84.3610527985,452.,0.9689472015
453.,84.3751953612,453.,0.9548046388
454.,84.4781936171,454.,2.0218063829
455.,84.7041371265,455.,0.3058628735
456.,84.9846306825,456.,0.2653693175
457.,85.3325916782,457.,-0.3225916782
458.,85.6207685338,458.,-3.5107685338
459.,85.8220417223,459.,-3.7120417223
460.,85.9493361118,460.,-1.7093361118
461.,86.0612387597,461.,-1.8212387597
462.,86.1583897710,462.,-2.4583897710
463.,86.2674561145,463.,-2.5674561145
464.,86.3867322023,464.,0.9132677977
465.,86.4950028313,465.,0.8049971687
466.,86.6659584589,466.,0.6340415411
467.,86.8420229224,467.,4.1579770776
468.,87.1715973182,468.,3.8284026818
469.,87.5326498901,469.,-0.8126498901
470.,87.7787286235,470.,-1.0587286235
471.,88.0461210899,471.,-0.3861210899
472.,88.1953933271,472.,-0.1753933271
473.,88.2971236042,473.,-0.6371236042
474.,88.3823370858,474.,0.2676629142
475.,88.5636847947,475.,-2.7336847947
476.,88.7401750889,476.,2.7198249111
477.,88.8786432309,477.,3.5813567691
478.,88.4255337607,478.,4.6244662393
479.,87.9588507101,479.,5.0911492899
480.,87.4529735668,480.,2.9870264332
481.,87.1068556479,481.,1.2831443521
482.,86.9162789644,482.,-0.3462789644
483.,87.0456615099,483.,-0.4756615099
484.,87.3018872455,484.,-0.7318872455
485.,87.6634664432,485.,0.9465335568
486.,88.1093931912,486.,2.4106068088
487.,88.6427792249,487.,2.7772207751
488.,89.2986713176,488.,2.1213286824
489.,90.30075517,489.,1.1192448300
490.,91.4981227208,490.,1.2018772792
491.,92.7300910553,491.,-1.7600910553
492.,93.9888334957,492.,-3.0188334957
493.,95.3877478539,493.,-5.7377478539
494.,96.835903418,494.,-7.765903418
495.,98.1727873791,495.,-9.1027873791
496.,99.9504308138,496.,-12.1104308138
497.,101.6555616209,497.,-11.0355616209
498.,103.2386919296,498.,-11.1886919296
499.,104.7166452241,499.,-12.1666452241
500.,106.1282593037,500.,-14.0782593037
501.,107.3680595257,501.,-14.8180595257
502.,108.6723681171,502.,-14.9223681171
503.,110.0360515527,503.,6.3739484473
504.,111.3118901900,504.,10.70810981
505.,112.4261111237,505.,18.4938888763
506.,113.3631183039,506.,17.5568816961
507.,114.2120224694,507.,18.2579775306
508.,114.9150848264,508.,12.3349151736
509.,115.4530698317,509.,9.0469301683
510.,115.8252417948,510.,8.6747582052
511.,116.1400285397,511.,11.3799714603
512.,116.4061729597,512.,12.1738270403
513.,116.5712552946,513.,10.9487447054
514.,116.6081659834,514.,1.3918340166
515.,116.4696151668,515.,-0.2996151668
516.,116.1704521054,516.,-0.0404521054
517.,115.6537912523,517.,0.4762087477
518.,114.8914992412,518.,1.2385007588
519.,113.9357471290,519.,1.694252871
520.,112.8407322929,520.,2.7892677071
521.,111.5760794129,521.,-12.6360794129
522.,110.0158180253,522.,-11.0758180253
523.,108.3731756099,523.,-8.1731756099
524.,106.6508586831,524.,-6.4508586831
525.,104.8686058574,525.,-4.6686058574
526.,102.9338517294,526.,-3.2938517294
527.,100.8680697185,527.,-1.2280697185
528.,98.6912571066,528.,-3.3412571066
529.,97.0936936284,529.,-1.7436936284
530.,95.6777521575,530.,1.8322478425
531.,94.5715714965,531.,2.9384285035
532.,93.5801193685,532.,0.6398806315
533.,92.7767299373,533.,-0.6067299373
534.,91.9967292577,534.,0.1732707423
535.,91.1800570794,535.,0.9699429206
536.,90.4946001042,536.,-0.0046001042
537.,89.9875304084,537.,-1.5775304084
538.,89.6598976194,538.,-2.6098976194
539.,89.4511961766,539.,-3.9011961766
540.,89.0586975922,540.,-3.5086975922
541.,88.7290491291,541.,-2.1290491291
542.,88.5149890145,542.,-1.8349890145
543.,88.4359147433,543.,1.1640852567
544.,88.4813347981,544.,1.1186652019
545.,88.6404335319,545.,-0.4604335319
546.,88.8201977395,546.,-0.6401977395
547.,88.6197938798,547.,2.8002061202
548.,88.4944648803,548.,3.4455351197
549.,88.4733683662,549.,2.9466316338
550.,88.4980232848,550.,0.7319767152
551.,88.6005701148,551.,0.3594298852
552.,88.8519925706,552.,0.1080074294
553.,89.1609214252,553.,0.0390785748
554.,89.3725823914,554.,0.6174176086
555.,89.482622936,555.,0.7873770640
556.,89.7299204965,556.,1.5600795035
557.,90.4123210039,557.,0.8776789961
558.,91.0065367279,558.,-0.2465367279
559.,91.5188117511,559.,-2.7688117511
560.,91.8938542209,560.,-1.1338542209
561.,92.2670003851,561.,-2.3270003851
562.,92.6083791252,562.,-1.4683791252
563.,92.8672264377,563.,-1.7272264377
564.,92.9604120139,564.,-1.5804120139
565.,92.9890162858,565.,-0.1690162858
566.,93.0457262905,566.,-0.2257262905
567.,93.0973070738,567.,-0.2773070738
568.,93.1353212983,568.,-0.8053212983
569.,93.1690962423,569.,-0.8390962423
570.,93.1941597771,570.,-0.8641597771
571.,93.1638920474,571.,3.3561079526
572.,93.1144034972,572.,3.4055965028
573.,93.1507626447,573.,2.9892373553
574.,93.2033321253,574.,2.9366678747
575.,93.1925898661,575.,3.9174101339
576.,93.3001825636,576.,3.8098174364
577.,93.2605886883,577.,0.5294113117
578.,93.294312895,578.,0.4956871050
579.,93.3880642823,579.,1.0419357177
580.,93.4456107726,580.,6.2243892274
581.,93.4564049016,581.,6.2135950984
582.,93.4198305737,582.,-7.1098305737
583.,93.6401107613,583.,-7.8501107613
584.,93.5798142653,584.,-7.7898142653
585.,93.5064035425,585.,-3.5364035425
586.,93.2829515957,586.,-3.3129515957
587.,92.7401857347,587.,-3.6301857347
588.,92.2234181975,588.,-3.1134181975
589.,91.7012688849,589.,0.9487311151
590.,91.9164853111,590.,0.7335146889
591.,91.0860479286,591.,-0.4760479286
592.,90.0185426623,592.,0.5914573377
593.,89.0659788444,593.,0.8740211556
594.,88.4686824164,594.,3.7513175836
595.,87.922861673,595.,4.2971383270
596.,87.2289288546,596.,4.9910711454
597.,86.7048712315,597.,5.5451287685
598.,86.2793304492,598.,5.9706695508
599.,85.9952764502,599.,6.2547235498
600.,85.7804072572,600.,8.2995927428
601.,85.7219746767,601.,1.5980253233
602.,85.7915042243,602.,5.1484957757
603.,85.9155074860,603.,1.404492514
604.,86.1388756257,604.,-2.4188756257
605.,86.8819407008,605.,-3.1619407008
606.,87.8018294865,606.,-4.0818294865
607.,88.7607236857,607.,-4.0007236857
608.,89.457334934,608.,-15.817334934
609.,90.1818220118,609.,-10.3918220118
610.,90.8154712451,610.,-15.4054712451
611.,91.4944211647,611.,-11.7044211647
612.,92.4117914336,612.,-3.8517914336
613.,92.6681761761,613.,-4.1081761761
614.,92.9733486602,614.,-4.4133486602
615.,93.3570674307,615.,-32.3670674307
616.,93.726101837,616.,2.4238981630
617.,93.8771476138,617.,13.2328523862
618.,94.0321946137,618.,13.0778053863
619.,94.3093304492,619.,3.0606695508
620.,94.7133300867,620.,2.6566699133
621.,95.0003286598,621.,9.8196713402
622.,95.2003112188,622.,11.7396887812
623.,95.4027826225,623.,12.5172173775
624.,95.6073197581,624.,11.3326802419
625.,95.7764739858,625.,12.9735260142
626.,96.0156418039,626.,12.7343581961
627.,96.1248263834,627.,12.6251736166
628.,96.4529196584,628.,10.9170803416
629.,96.4906088473,629.,10.7193911527
630.,96.3133223856,630.,-4.4133223856
631.,96.0964370654,631.,-4.1964370654
632.,95.9832517158,632.,-4.0832517158
633.,95.8706747605,633.,-8.8506747605
634.,95.5319440984,634.,-12.6219440984
635.,94.9947319305,635.,-12.0847319305
636.,94.0041470928,636.,-11.0941470928
637.,93.0635221636,637.,-21.5235221636
638.,92.3132868242,638.,-1.7332868242
639.,91.4301859612,639.,-3.4801859612
640.,90.5556640014,640.,-2.6056640014
641.,88.7444055358,641.,-0.7944055358
642.,87.9783820698,642.,5.1616179302
643.,87.6010713719,643.,5.5389286281
644.,87.3300496047,644.,0.5399503953
645.,86.5738533149,645.,-1.8338533149
646.,85.9274896374,646.,1.9425103626
647.,85.7074438832,647.,4.8825561168
648.,86.0051543636,648.,4.5848456364
649.,86.0991780108,649.,4.4908219892
650.,86.3003007996,650.,5.7096992004
651.,86.7129280391,651.,5.2970719609
652.,87.5041371265,652.,1.9758628735
653.,88.445467168,653.,-3.995467168
654.,89.4579170536,654.,0.0220829464
655.,90.4398441641,655.,1.5501558359
656.,91.0654277560,656.,0.924572244
657.,91.8400804095,657.,-5.3000804095
658.,92.6408129289,658.,-7.6208129289
659.,93.3080094679,659.,-16.1980094679
660.,93.8393585359,660.,-8.8193585359
661.,94.3366773879,661.,-1.6466773879
662.,94.8796262656,662.,-2.1896262656
663.,95.0048571882,663.,-1.4048571882
664.,95.6161170128,664.,2.4138829872
665.,96.1200634216,665.,1.9099365784
666.,96.2914229088,666.,3.5985770912
667.,97.2492393939,667.,0.5207606061
668.,97.4671274548,668.,0.5328725452
669.,97.6734800335,669.,0.3265199665
670.,97.6391087001,670.,10.7908912999
671.,97.4815017328,671.,10.9484982672
672.,97.4228741308,672.,8.0971258692
673.,97.5177091214,673.,-3.8477091214
674.,97.2506174545,674.,8.2693825455
675.,97.3202387370,675.,8.799761263
676.,97.5490781218,676.,8.5709218782
677.,98.2176375456,677.,-0.1576375456
678.,98.8416505470,678.,-1.9216505470
